,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
TRG 12 - Constant,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635,1152.042635
TRG 13 - Low,1273.802071,1011.933274,1004.874475,997.8649161,990.9042524,983.9921433,977.1282499,970.312236,963.5437677,956.8225131,950.1481431,943.5203305,936.9387506,930.4030809,923.9130011,917.4681932,911.0683415,904.7131323,898.4022542,892.135398,885.9122566,879.7325251,873.5959007,867.5020826,861.4507723,855.4416733,849.4744911,843.5489333,837.6647096,831.8215316,826.019113,820.2571696,814.5354189,808.8535806
TRG 13 - Mid,1273.802071,1264.916592,1256.093094,1247.331145,1238.630316,1229.990179,1221.410312,1212.890295,1204.42971,1196.028141,1187.685179,1179.400413,1171.173438,1163.003851,1154.891251,1146.835242,1138.835427,1130.891415,1123.002818,1115.169247,1107.390321,1099.665656,1091.994876,1084.377603,1076.813465,1069.302092,1061.843114,1054.436167,1047.080887,1039.776915,1032.523891,1025.321462,1018.169274,1011.066976
TRG 13 - Constant,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071,1273.802071
TRG 14 - Low,840.2835187,667.5376584,662.8812114,658.2572457,653.6655347,649.1058535,644.5779786,640.0816881,635.6167617,631.1829807,626.7801278,622.4079873,618.0663449,613.7549878,609.4737049,605.2222862,601.0005236,596.8082102,592.6451405,588.5111105,584.4059176,580.3293608,576.2812402,572.2613576,568.2695158,564.3055194,560.369174,556.4602869,552.5786664,548.7241224,544.8964659,541.0955095,537.3210669,533.5729532
TRG 14 - Mid,840.2835187,834.4220731,828.6015143,822.8215571,817.0819184,811.3823168,805.7224732,800.1021101,794.5209522,788.9787259,783.4751598,778.0099841,772.5829311,767.1937347,761.8421311,756.5278578,751.2506546,746.0102627,740.8064256,735.6388881,730.507397,725.411701,720.3515503,715.3266969,710.3368948,705.3818992,700.4614675,695.5753586,690.723333,685.9051529,681.1205824,676.3693869,671.6513337,666.9661914
TRG 14 - Constant,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187,840.2835187
TRG 15 - Low,518.1059165,411.5934713,408.7223775,405.8713112,403.0401328,400.2287033,397.4368851,394.6645415,391.9115364,389.1777352,386.4630037,383.7672089,381.0902188,378.4319023,375.792129,373.1707695,370.5676955,367.9827794,365.4158945,362.8669151,360.3357162,357.8221739,355.3261649,352.8475669,350.3862586,347.9421193,345.5150292,343.1048693,340.7115218,338.3348691,335.9747949,333.6311835,331.3039202,328.9928908
TRG 15 - Mid,518.1059165,514.4918391,510.9029719,507.3391391,503.8001659,500.2858791,496.7961064,493.3306768,489.8894206,486.4721689,483.0787546,479.7090111,476.3627736,473.0398779,469.7401612,466.4634619,463.2096194,459.9784743,456.7698682,453.5836439,450.4196453,447.2777173,444.1577061,441.0594587,437.9828233,434.9276491,431.8937864,428.8810867,425.8894022,422.9185864,419.9684936,417.0389794,414.1299002,411.2411135
TRG 15 - Constant,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165,518.1059165
