Axis1_SolarPV_Lat_CF,Site
21.607025,043185
21.603495,043186
21.666943,043187
21.596087,042735
21.752268,042736
21.573055,042734
21.5988,043161
21.54756,042283
21.52686,042282
21.333134,042279
21.808855,042286
21.606907,042712
21.407999,042277
21.58525,042284
21.47546,042710
21.410885,042276
21.351395,042281
21.461126,042275
21.542652,042709
21.482744,042272
21.49607,042274
21.431444,042271
21.509905,042270
21.223408,042278
21.314562,041829
21.63078,041833
21.374779,042265
21.465332,042269
21.409899,041826
21.460815,042261
21.46844,042263
21.365118,041827
21.463171,041825
21.451176,042264
21.413744,042267
21.342796,042266
21.425768,042268
21.327505,041820
21.393032,041818
21.41907,041819
21.47941,041821
21.30198,041832
21.445986,042260
21.374493,041815
21.339912,041830
21.285479,041831
21.352402,041816
21.394588,041812
21.60645,041384
21.330805,041380
21.371975,041809
21.322603,041810
21.312302,041813
21.32431,041814
21.325,041381
21.336164,041817
21.338985,041811
21.346758,041378
21.745373,041385
21.37307,041379
21.46832,041382
21.372272,041808
21.408478,041370
21.426054,041369
21.284958,041362
21.360117,041366
21.37778,041376
21.2679,041363
21.444332,040931
21.268763,041359
21.267166,041360
21.590326,040934
21.43862,040927
21.264904,041358
21.40692,040933
21.369556,041356
21.401903,041367
21.345285,041365
21.549864,040924
21.522503,040925
21.49195,040926
21.426538,041368
21.360218,040930
21.349224,040929
21.313322,041361
21.323713,040928
21.626278,040932
21.39039,040482
21.208902,040909
21.184284,040910
21.48105,040478
21.468039,040483
21.331781,040906
21.261217,040907
21.372143,040915
21.506767,040476
21.288887,040905
21.462168,040477
21.228643,040912
21.28664,040914
21.35696,040904
21.48228,040475
21.213829,040908
21.631367,040467
21.62447,040465
21.548746,040463
21.1635,040459
21.455498,040032
21.398415,040462
21.538212,040468
21.204912,040457
21.512478,040025
21.226444,040456
21.399305,040454
21.470028,040027
21.306381,040455
21.297457,040461
21.434013,040029
21.615433,040466
21.437788,040026
21.247252,040460
21.414448,040031
21.523342,040028
21.914757,040033
21.683897,040017
21.345661,039580
21.63383,039582
21.324654,040004
21.780867,040016
21.485748,040022
21.408443,039576
21.473778,040010
21.226368,040005
